dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
14/12/2020,14,12,2020,746,6,Afghanistan,AF,AFG,38041757,Asia,9.01377925
13/12/2020,13,12,2020,298,9,Afghanistan,AF,AFG,38041757,Asia,7.05277624
12/12/2020,12,12,2020,113,11,Afghanistan,AF,AFG,38041757,Asia,6.86876792
11/12/2020,11,12,2020,63,10,Afghanistan,AF,AFG,38041757,Asia,7.13426564
10/12/2020,10,12,2020,202,16,Afghanistan,AF,AFG,38041757,Asia,6.96865815
09/12/2020,9,12,2020,135,13,Afghanistan,AF,AFG,38041757,Asia,6.96340077
08/12/2020,8,12,2020,200,6,Afghanistan,AF,AFG,38041757,Asia,7.09483529
14/12/2020,14,12,2020,788,14,Albania,AL,ALB,2862427,Europe,380.97041427
13/12/2020,13,12,2020,879,12,Albania,AL,ALB,2862427,Europe,382.61237754
12/12/2020,12,12,2020,802,12,Albania,AL,ALB,2862427,Europe,370.9439577
11/12/2020,11,12,2020,873,14,Albania,AL,ALB,2862427,Europe,365.45910166
10/12/2020,10,12,2020,752,15,Albania,AL,ALB,2862427,Europe,357.87812231
09/12/2020,9,12,2020,753,14,Albania,AL,ALB,2862427,Europe,354.10510032
08/12/2020,8,12,2020,695,17,Albania,AL,ALB,2862427,Europe,353.79068182
14/12/2020,14,12,2020,464,12,Algeria,DZ,DZA,43053054,Africa,22.95075281
13/12/2020,13,12,2020,517,9,Algeria,DZ,DZA,43053054,Africa,24.21663281
12/12/2020,12,12,2020,542,11,Algeria,DZ,DZA,43053054,Africa,25.44070393
11/12/2020,11,12,2020,565,10,Algeria,DZ,DZA,43053054,Africa,26.63922518
10/12/2020,10,12,2020,598,15,Algeria,DZ,DZA,43053054,Africa,27.84703729
09/12/2020,9,12,2020,591,12,Algeria,DZ,DZA,43053054,Africa,28.83883685
08/12/2020,8,12,2020,573,11,Algeria,DZ,DZA,43053054,Africa,30.0977487
14/12/2020,14,12,2020,50,1,Andorra,AD,AND,76177,Europe,821.77035063
13/12/2020,13,12,2020,52,0,Andorra,AD,AND,76177,Europe,811.26849311
12/12/2020,12,12,2020,46,0,Andorra,AD,AND,76177,Europe,821.77035063
11/12/2020,11,12,2020,28,0,Andorra,AD,AND,76177,Europe,861.15231632
10/12/2020,10,12,2020,35,0,Andorra,AD,AND,76177,Europe,963.5454271
09/12/2020,9,12,2020,43,0,Andorra,AD,AND,76177,Europe,1018.68017906
08/12/2020,8,12,2020,34,0,Andorra,AD,AND,76177,Europe,1023.93110781
14/12/2020,14,12,2020,27,5,Angola,AO,AGO,31825299,Africa,3.40923741
13/12/2020,13,12,2020,100,1,Angola,AO,AGO,31825299,Africa,3.37467371
12/12/2020,12,12,2020,136,3,Angola,AO,AGO,31825299,Africa,3.58519805
11/12/2020,11,12,2020,121,4,Angola,AO,AGO,31825299,Africa,3.46893834
10/12/2020,10,12,2020,75,3,Angola,AO,AGO,31825299,Africa,3.33696786
09/12/2020,9,12,2020,81,1,Angola,AO,AGO,31825299,Africa,3.44065896
08/12/2020,8,12,2020,112,0,Angola,AO,AGO,31825299,Africa,3.62918821
14/12/2020,14,12,2020,0,0,Anguilla,AI,AIA,14872,America,40.34427111
13/12/2020,13,12,2020,0,0,Anguilla,AI,AIA,14872,America,40.34427111
12/12/2020,12,12,2020,0,0,Anguilla,AI,AIA,14872,America,40.34427111
11/12/2020,11,12,2020,0,0,Anguilla,AI,AIA,14872,America,40.34427111
10/12/2020,10,12,2020,0,0,Anguilla,AI,AIA,14872,America,40.34427111
09/12/2020,9,12,2020,1,0,Anguilla,AI,AIA,14872,America,40.34427111
08/12/2020,8,12,2020,0,0,Anguilla,AI,AIA,14872,America,33.62022593
14/12/2020,14,12,2020,0,0,Antigua_and_Barbuda,AG,ATG,97115,America,7.20794934
13/12/2020,13,12,2020,1,0,Antigua_and_Barbuda,AG,ATG,97115,America,7.20794934
12/12/2020,12,12,2020,1,0,Antigua_and_Barbuda,AG,ATG,97115,America,6.17824229
11/12/2020,11,12,2020,0,0,Antigua_and_Barbuda,AG,ATG,97115,America,5.14853524
10/12/2020,10,12,2020,0,0,Antigua_and_Barbuda,AG,ATG,97115,America,6.17824229
09/12/2020,9,12,2020,0,0,Antigua_and_Barbuda,AG,ATG,97115,America,6.17824229
08/12/2020,8,12,2020,0,0,Antigua_and_Barbuda,AG,ATG,97115,America,7.20794934
14/12/2020,14,12,2020,3558,98,Argentina,AR,ARG,44780675,America,177.23270138
13/12/2020,13,12,2020,5274,62,Argentina,AR,ARG,44780675,America,181.41754228
